Time   HR;V'O2;/V'O2;V'CO;2 RER;V'E;BF;VTex FICO;2FIO2 FECO;2FEO2 EE/d;CHO;gFAT g/d
min  1/mi;n(mL/;mmL/m;imL/m;in;L/mi;n1/mi;n   L    %;%    %;% kcal;/g/da;yg/day
0Warmup;;;;;;;;;;;
0Test;;;;;;;;;;;
01.02.10;15.08;1026;1116;01.09;42;32.03.00;2,06255787;1,48181713;17.707.568;;
01.02.20;17.05;1137;1243;01.09;46;33.02.00;2,62505787;1,481875;17.688.403;;
01.02.30;17.02;1121;1226;01.09;53;36.04.00;3,215335648;20.932.92;18.258.284;;
01.02.40;18.00;1171;1289;01.10;47;44.00.00;0,555613426;1,481828704;17.728.667;;
01.02.50;17.04;1129;1260;01.12;53;47.01.00;0,868113426;1,481342593;18.158.382;;
01.03.00;16.05;1072;1170;01.09;52;49.03.00;0,37505787;20.932.92;18.257.919;;
01.03.10;14.05;941;1019;01.08;53;44.04.00;1,340335648;1,481087963;18.676.933;;
01.03.20;16.09;1101;1180;01.07;54;42.00.00;2,027835648;20.932.80;18.328.095;;
01.03.30;20.02;1313;1414;01.08;53;49.08.00;0,527835648;1,481689815;17.799.675;;
01.03.40;17.09;1165;1283;01.10;54;42.00.00;2,083391204;1,48125;18.188.626;;
01.03.50;12.06;819;901;01.10;43;26.07.00;4,277835648;20.932.68;18.496.051;;
01.04.00;14.03;932;1023;01.10;43;25.08.00;4,632002315;20.932.93;18.256.888;;
01.04.10;09.08;637;705;01.11;29;32.00.00;6,388946759;20.932.91;18.294.706;;
01.04.20;10.00;651;708;01.09;28;29.00.00;6,722280093;1,481759259;17.774.789;;
01.04.30;07.07;502;541;01.08;23;31.01.00;5,097280093;1,481400463;18.023.681;;
01.04.40;06.09;448;478;01.07;21;30.02.00;4,75005787;20.932.94;18.183.270;;
01.04.50;06.07;435;451;01.04;17;34.01.00;3,541724537;20.932.75;18.313.153;;
01.05.00;07.01;458;468;01.02;20;22.00;6,208391204;1,48130787;17.983.315;;
01.05.10;08.02;535;538;01.00;23;19.03;1,548668981;20.932.93;18.043.864;;
01.05.20;05.05;355;346;0,067361111;16;22.08;4,916724537;20.932.80;18.112.534;526;ｫ-7
01.05.30;08.02;536;499;0,064583333;22;37.04.00;4,007002315;20.932.65;18.173.805;676;61
01.05.40;11.05;747;684;0,063888889;30;52.07.00;3,930613426;1,48125;17.765.299;892;123
01.05.50;07.00;455;430;0,065972222;18;22.06;5,493113426;1,481331019;17.783.235;609;31
01.06.00;07.05;488;449;0,063888889;20;20.04;6,791724537;20.932.75;18.053.451;584;64
01.06.10;08.00;522;464;0,061805556;22;19.05;0,777835648;20.932.80;17.913.670;529;111
01.06.20;06.01;397;350;0,061111111;18;21.05;5,854224537;1,481157407;18.202.778;376;85
01.06.30;04.06;298;266;0,061805556;15;22.09;4,652835648;1,480960648;18.402.084;291;49
01.06.40;05.01;333;305;0,063888889;18;30.07.00;4,013946759;1,480844907;18.572.345;375;40
01.06.50;06.07;436;409;0,065277778;18;16.05;0,833391204;20.932.77;18.063.094;559;38
01.07.00;04.08;311;311;01.00;13;13.02;1.0040.05;20.932.99;17.992.228;;
01.07.10;04.03;282;284;01.01;13;19.04;4,590335648;20.932.86;18.152.023;;
01.07.20;04.01;267;272;01.02;16;20.00;5,611168981;1,480810185;18.791.914;;
01.07.30;07.06;492;495;01.01;19;18.05;1.0010.05;1,481365741;17.903.551;;
